Year,Staten Island Ferry,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Hudson River Greenway at 50th St.”,”9th 10th 11th 12th Avenues at 50th St.”,”Grand Total
1980,207,623,0,146,344,0,761,2081
1985,231,913,0,392,759,0,1145,3440
1986,224,1542,0,420,780,0,1256,4222
1987,327,1633,0,368,436,0,1565,4329
1988,244,988,0,282,330,0,1206,3050
1989,202,690,0,240,423,0,1606,3161
1990,170,1075,0,248,227,0,1084,2804
1991,341,1183,0,0,602,0,1741,3867
1992,290,1073,0,362,737,0,1802,4264
1993,293,1193,0,361,709,0,2196,4752
1994,241,1305,0,439,672,0,1881,4538
1995,386,1715,0,664,964,0,1736,5465
1996,387,1613,0,791,1314,0,1579,5684
1997,318,1698,0,1022,786,0,1679,5503
1998,335,1115,0,966,692,0,1392,4500
1999,366,1109,0,1004,820,0,2039,5338
2000,389,762,0,733,546,0,1880,4310
2001,253,867,147,792,667,2113,0,4839
2002,104,981,546,1117,517,2366,0,5631
2003,354,1049,661,1387,1331,2885,0,7667
2004,303,1422,856,974,1099,2686,0,7340
2005,290,1349,829,1609,976,2037,0,7090
2006,105,1284,1578,2566,1158,1958,0,8649
2007,252,1626,1313,2257,1292,2586,0,9326
2008,235,1688,2210,2903,1891,3400,0,12327
2009,256,2294,2606,3823,2225,4289,0,15493
2010,378,2153,2984,4296,2626,5055,0,17492
2011,368,2322,3617,4515,2904,5120,0,18846
